600001	000000000000+2797379	0	2	13	1	2019-01-05	NULL	NULL	NULL	NULL
600002	00000000000000000007	0	2	13	2	2019-01-05	NULL	NULL	NULL	NULL
600003	00000000000000000008	0	2	13	3	2019-01-05	NULL	NULL	NULL	NULL
600004	00000000000000000016	0	2	13	4	2019-01-05	NULL	NULL	NULL	NULL
600005	00000000000000000021	0	2	13	5	2019-01-05	NULL	NULL	NULL	NULL
600006	00000000000000000023	0	2	13	6	2019-01-05	NULL	NULL	NULL	NULL
600007	00000000000000000028	0	2	13	7	2019-01-05	NULL	NULL	NULL	NULL
600008	00000000000000000037	0	2	13	8	2019-01-05	NULL	NULL	NULL	NULL
600009	00000000000000000038	0	2	13	9	2019-01-05	NULL	NULL	NULL	NULL
600010	00000000000000000072	0	2	13	10	2019-01-05	NULL	NULL	NULL	NULL
600011	00000000000000000088	0	2	13	11	2019-01-05	NULL	NULL	NULL	NULL
600012	00000000000000000091	0	2	13	12	2019-01-05	NULL	NULL	NULL	NULL
600013	00000000000000000110	0	2	13	13	2019-01-05	NULL	NULL	NULL	NULL
600014	00000000000000000162	0	2	13	14	2019-01-05	NULL	NULL	NULL	NULL
600015	00000000000000000200	0	2	13	15	2019-01-05	NULL	NULL	NULL	NULL
600016	00000000000000000244	0	2	13	16	2019-01-05	NULL	NULL	NULL	NULL
600017	00000000000000000305	0	2	13	17	2019-01-05	NULL	NULL	NULL	NULL
600018	00000000000000000310	0	2	13	18	2019-01-05	NULL	NULL	NULL	NULL
600019	00000000000000000318	0	2	13	19	2019-01-05	NULL	NULL	NULL	NULL
600020	00000000000000000323	0	2	13	20	2019-01-05	NULL	NULL	NULL	NULL
600021	00000000000000000339	0	2	13	21	2019-01-05	NULL	NULL	NULL	NULL
600022	00000000000000000390	0	2	13	22	2019-01-05	NULL	NULL	NULL	NULL
600023	00000000000000000391	0	2	13	23	2019-01-05	NULL	NULL	NULL	NULL
600024	00000000000000000420	0	2	13	24	2019-01-05	NULL	NULL	NULL	NULL
600025	00000000000000000425	0	2	13	25	2019-01-05	NULL	NULL	NULL	NULL
600026	00000000000000000428	0	2	13	26	2019-01-05	NULL	NULL	NULL	NULL
600027	00000000000000000451	0	2	13	27	2019-01-05	NULL	NULL	NULL	NULL
600028	00000000000000000460	0	2	13	28	2019-01-05	NULL	NULL	NULL	NULL
600029	00000000000000000463	0	2	13	29	2019-01-05	NULL	NULL	NULL	NULL
600030	00000000000000000484	0	2	13	30	2019-01-05	NULL	NULL	NULL	NULL
600031	00000000000000000502	0	2	13	31	2019-01-05	NULL	NULL	NULL	NULL
600032	00000000000000000516	0	2	13	32	2019-01-05	NULL	NULL	NULL	NULL
600033	00000000000000000517	0	2	13	33	2019-01-05	NULL	NULL	NULL	NULL
600034	00000000000000000534	0	2	13	34	2019-01-05	NULL	NULL	NULL	NULL
600035	00000000000000000572	0	2	13	35	2019-01-05	NULL	NULL	NULL	NULL
600036	00000000000000000589	0	2	13	36	2019-01-05	NULL	NULL	NULL	NULL
