1	2001	CUENTAS COMERCIALES A PAGAR	1	2.1.1.1	2010	10	2010	0.00	0	2011-04-01
2	2001	CUENTAS COMERCIALES A PAGAR	2	2.1.1.1	2012	10	2012	0.00	0	2013-04-01
3	2001	CUENTAS COMERCIALES A PAGAR	3	2.1.1.1	2015	10	2015	0.00	0	2016-04-01
4	1001	CAJA	4	1.1.1.1	2016	2	2016	0.00	0	2017-04-01
5	1003	15050/7-DESC. ADM.  INGRESOS BRUTOS	5	1.1.1.2.1.01.03	2016	3	2016	0.00	0	2017-04-01
6	1004	15033/0-DESC. ADM.  INMOBILIARIO RURAL	6	1.1.1.2.1.01.04	2016	3	2016	0.00	0	2017-04-01
7	1005	15129/6-LEY 11430 - RUTAS Y CAMINOS	7	1.1.1.2.1.01.13	2016	3	2016	0.00	0	2017-04-01
8	1006	50244/5-RECURSOS ORDINARIOS	8	1.1.1.2.1.01.15	2016	3	2016	0.00	0	2017-04-01
9	1007	15087/3-HOSPITAL SAN JOSÉ	9	1.1.1.2.1.01.16	2016	3	2016	0.00	0	2017-04-01
10	1008	3394-1-118-9-BCO GALICIA MUNIC DE CAMPANA	10	1.1.1.2.1.03.01	2016	3	2016	0.00	0	2017-04-01
11	1009	268/84-CONVENIO PAMI	11	1.1.1.2.1.04.01	2016	3	2016	0.00	0	2017-04-01
12	1010	1566/4-CREDICOOP MUNICIPALIDAD DE CAMPANA	12	1.1.1.2.1.05.01	2016	3	2016	0.00	0	2017-04-01
13	1011	3994/9-RECURSOS CON AFECTACIÓN	13	1.1.1.2.2.01.01	2016	4	2016	0.00	0	2017-04-01
14	1012	50065/4-PROYECTO ADOLESCENTE	14	1.1.1.2.2.01.06	2016	4	2016	0.00	0	2017-04-01
15	1013	50129/9-OBRAS SANEAMIENTO BASICO	15	1.1.1.2.2.01.12	2016	4	2016	0.00	0	2017-04-01
16	1014	50227/8-FONDO SOLIDARIO PROVINCIAL	16	1.1.1.2.2.01.15	2016	4	2016	0.00	0	2017-04-01
17	1015	50306/6-PROYECTO SEGURIDAD VIAL	17	1.1.1.2.2.01.17	2016	4	2016	0.00	0	2017-04-01
18	1016	50305/9-PLAN NACER	18	1.1.1.2.2.01.18	2016	4	2016	0.00	0	2017-04-01
19	1017	50407/6-FONDO EDUCATIVO	19	1.1.1.2.2.01.19	2016	4	2016	0.00	0	2017-04-01
20	1018	50455/7-APORTES HNOS ROCCA-ESCUELA, JARDÍN Y PLAZA B° SIDERCA	20	1.1.1.2.2.01.20	2016	4	2016	0.00	0	2017-04-01
21	1019	50516/1-FONDO PROCREAR	21	1.1.1.2.2.01.21	2016	4	2016	0.00	0	2017-04-01
22	1020	50541/3-FONDO MUNICIPAL DE FORTALECIMIENTO DE LA SEGURIDAD (AFEC	22	1.1.1.2.2.01.22	2016	4	2016	0.00	0	2017-04-01
23	1021	50540/6-FONDO PARA INFRAESTRUCTURA MUNICIPAL (AFECTADO)	23	1.1.1.2.2.01.23	2016	4	2016	0.00	0	2017-04-01
24	1023	145/50-CONV.PLAN NAC. OBRAS MUNICIPALES	24	1.1.1.2.2.02.04	2016	4	2016	0.00	0	2017-04-01
25	1024	293/96-PLAN APOYO A TRANSICION PLAN JEFES/AS DE HOGAR	25	1.1.1.2.2.02.06	2016	4	2016	0.00	0	2017-04-01
26	1025	8400356/76-ARGENTINA TRABAJA, ENSEÑA Y APRENDE	26	1.1.1.2.2.02.07	2016	4	2016	0.00	0	2017-04-01
27	1026	8400358/82-PROGRAMA INGRESO SOCIAL CON TRABAJO- ARGENTINA TRABAJ	27	1.1.1.2.2.02.08	2016	4	2016	0.00	0	2017-04-01
28	1027	840036376-RECURSOS AFECTADOS NACIÓN	28	1.1.1.2.2.02.09	2016	4	2016	0.00	0	2017-04-01
29	1028	8400373/85-PLAN MAS CERCA, MAS MUNICIPIO, MAS PAIS, MAS PATRIA	29	1.1.1.2.2.02.10	2016	4	2016	0.00	0	2017-04-01
